ObjectId,Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2020,F2025,F2030,F2035,F2040,F2045,F2050
1,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.90978,14.20393,14.42557,14.63334,14.76049,14.81978,14.87096
2,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.93854,14.20575,14.40551,14.62693,14.78472,14.9447,15.15575
3,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.90871,14.18438,14.39542,14.65662,14.83033,14.91812,14.96496
4,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.90964,14.15194,14.33653,14.52832,14.73503,14.91799,15.09618
5,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.90845,14.17709,14.39153,14.58657,14.69253,14.72458,14.68349
6,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.91009,14.1573,14.34368,14.53314,14.74654,14.93464,15.14209
7,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,GCAM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.9101,14.21089,14.4347,14.62301,14.70478,14.71183,14.65704
8,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88791,14.18857,14.43968,14.63976,14.75056,14.80645,14.84878
9,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88847,14.151,14.33234,14.52222,14.74068,14.92441,15.12176
10,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88769,14.18346,14.39069,14.66372,14.82117,14.8897,14.94476
11,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88865,14.1501,14.33293,14.55458,14.76975,14.90373,15.046
12,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88793,14.1904,14.483,14.64117,14.67385,14.65395,14.63172
13,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88887,14.15294,14.33397,14.52242,14.71895,14.86772,15.02213
14,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88793,14.18965,14.45725,14.60207,14.63723,14.61735,14.58934
15,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.18285253,14.3860811,14.59059719,14.68516086,14.72120158,14.73652309
16,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.14503247,14.31584006,14.5078934,14.71990412,14.91246125,15.12978042
17,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.14503247,14.31584006,14.60347848,14.75919049,14.80997546,14.80051744
18,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.14503247,14.31584006,14.50409463,14.71040913,14.86637002,15.01159338
19,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.19363598,14.39266491,14.51255823,14.49019424,14.40696983,14.32479356
20,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.14446408,14.31603627,14.50109074,14.6667023,14.79008363,14.91300498
21,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.88714909,14.18707085,14.38632465,14.53371047,14.54112112,14.50141621,14.47527293
22,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,GCAM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.75291,13.94569,14.10784,14.23981,14.30642,14.33996,14.3689
